['1S', '10S', '5H']
['1S', '10S', '6H']
['1S', '10S', '7H']
['1S', '10S', '8H']
['1S', '10S', '9H']
['1S', '10S', '10H']
['1S', '10S', 'JH']
['1S', '10S', 'QH']
['1S', '10S', 'KH']
['1S', '10S', 'AH']
['1S', 'JS', 'QS']
['1S', 'JS', 'KS']
['1S', 'JS', 'AS']
['1S', 'JS', '1C']
['1S', 'JS', '2C']
['1S', 'JS', '3C']
['1S', 'JS', '4C']
['1S', 'JS', '5C']
['1S', 'JS', '6C']
['1S', 'JS', '7C']
['1S', 'JS', '8C']
['1S', 'JS', '9C']
['1S', 'JS', '10C']
['1S', 'JS', 'JC']
['1S', 'JS', 'QC']
['1S', 'JS', 'KC']
['1S', 'JS', 'AC']
['1S', 'JS', '1D']
['1S', 'JS', '2D']
['1S', 'JS', '3D']
['1S', 'JS', '4D']
['1S', 'JS', '5D']
['1S', 'JS', '6D']
['1S', 'JS', '7D']
['1S', 'JS', '8D']
['1S', 'JS', '9D']
['1S', 'JS', '10D']
['1S', 'JS', 'JD']
['1S', 'JS', 'QD']
['1S', 'JS', 'KD']
['1S', 'JS', 'AD']
['1S', 'JS', '1H']
['1S', 'JS', '2H']
['1S', 'JS', '3H']
['1S', 'JS', '4H']
['1S', 'JS', '5H']
['1S', 'JS', '6H']
['1S', 'JS', '7H']
['1S', 'JS', '8H']
['1S', 'JS', '9H']
['1S', 'JS', '10H']
['1S', 'JS', 'JH']
['1S', 'JS', 'QH']
['1S', 'JS', 'KH']
['1S', 'JS', 'AH']
['1S', 'QS', 'KS']
['1S', 'QS', 'AS']
['1S', 'QS', '1C']
['1S', 'QS', '2C']
['1S', 'QS', '3C']
['1S', 'QS', '4C']
['1S', 'QS', '5C']
['1S', 'QS', '6C']
['1S', 'QS', '7C']
['1S', 'QS', '8C']
['1S', 'QS', '9C']
['1S', 'QS', '10C']
['1S', 'QS', 'JC']
['1S', 'QS', 'QC']
['1S', 'QS', 'KC']
['1S', 'QS', 'AC']
['1S', 'QS', '1D']
['1S', 'QS', '2D']
['1S', 'QS', '3D']
['1S', 'QS', '4D']
['1S', 'QS', '5D']
['1S', 'QS', '6D']
['1S', 'QS', '7D']
['1S', 'QS', '8D']
['1S', 'QS', '9D']
['1S', 'QS', '10D']
['1S', 'QS', 'JD']
['1S', 'QS', 'QD']
['1S', 'QS', 'KD']
['1S', 'QS', 'AD']
['1S', 'QS', '1H']
['1S', 'QS', '2H']
['1S', 'QS', '3H']
['1S', 'QS', '4H']
['1S', 'QS', '5H']
['1S', 'QS', '6H']
['1S', 'QS', '7H']
['1S', 'QS', '8H']
['1S', 'QS', '9H']
['1S', 'QS', '10H']
['1S', 'QS', 'JH']
['1S', 'QS', 'QH']
['1S', 'QS', 'KH']
['1S', 'QS', 'AH']
['1S', 'KS', 'AS']
['1S', 'KS', '1C']
['1S', 'KS', '2C']
['1S', 'KS', '3C']
['1S', 'KS', '4C']
['1S', 'KS', '5C']
['1S', 'KS', '6C']
['1S', 'KS', '7C']
['1S', 'KS', '8C']
['1S', 'KS', '9C']
['1S', 'KS', '10C']
['1S', 'KS', 'JC']
['1S', 'KS', 'QC']
['1S', 'KS', 'KC']
['1S', 'KS', 'AC']
['1S', 'KS', '1D']
['1S', 'KS', '2D']
['1S', 'KS', '3D']
['1S', 'KS', '4D']
['1S', 'KS', '5D']
['1S', 'KS', '6D']
['1S', 'KS', '7D']
['1S', 'KS', '8D']
['1S', 'KS', '9D']
['1S', 'KS', '10D']
['1S', 'KS', 'JD']
['1S', 'KS', 'QD']
['1S', 'KS', 'KD']
['1S', 'KS', 'AD']
['1S', 'KS', '1H']
['1S', 'KS', '2H']
['1S', 'KS', '3H']
['1S', 'KS', '4H']
['1S', 'KS', '5H']
['1S', 'KS', '6H']
['1S', 'KS', '7H']
['1S', 'KS', '8H']
['1S', 'KS', '9H']
['1S', 'KS', '10H']
['1S', 'KS', 'JH']
['1S', 'KS', 'QH']
['1S', 'KS', 'KH']
['1S', 'KS', 'AH']
['1S', 'AS', '1C']
['1S', 'AS', '2C']
['1S', 'AS', '3C']
['1S', 'AS', '4C']
['1S', 'AS', '5C']
['1S', 'AS', '6C']
['1S', 'AS', '7C']
['1S', 'AS', '8C']
['1S', 'AS', '9C']
['1S', 'AS', '10C']
['1S', 'AS', 'JC']
['1S', 'AS', 'QC']
['1S', 'AS', 'KC']
['1S', 'AS', 'AC']
['1S', 'AS', '1D']
['1S', 'AS', '2D']
['1S', 'AS', '3D']
['1S', 'AS', '4D']
['1S', 'AS', '5D']
['1S', 'AS', '6D']
['1S', 'AS', '7D']
['1S', 'AS', '8D']
['1S', 'AS', '9D']
['1S', 'AS', '10D']
['1S', 'AS', 'JD']
['1S', 'AS', 'QD']
['1S', 'AS', 'KD']
['1S', 'AS', 'AD']
['1S', 'AS', '1H']
['1S', 'AS', '2H']
['1S', 'AS', '3H']
['1S', 'AS', '4H']
['1S', 'AS', '5H']
['1S', 'AS', '6H']
['1S', 'AS', '7H']
['1S', 'AS', '8H']
['1S', 'AS', '9H']
['1S', 'AS', '10H']
['1S', 'AS', 'JH']
['1S', 'AS', 'QH']
['1S', 'AS', 'KH']
['1S', 'AS', 'AH']
['1S', '1C', '2C']
['1S', '1C', '3C']
['1S', '1C', '4C']
['1S', '1C', '5C']
['1S', '1C', '6C']
['1S', '1C', '7C']
['1S', '1C', '8C']
['1S', '1C', '9C']
['1S', '1C', '10C']
['1S', '1C', 'JC']
['1S', '1C', 'QC']
['1S', '1C', 'KC']
['1S', '1C', 'AC']
['1S', '1C', '1D']
['1S', '1C', '2D']
['1S', '1C', '3D']
['1S', '1C', '4D']
['1S', '1C', '5D']
['1S', '1C', '6D']
['1S', '1C', '7D']
['1S', '1C', '8D']
['1S', '1C', '9D']
['1S', '1C', '10D']
['1S', '1C', 'JD']
['1S', '1C', 'QD']
['1S', '1C', 'KD']
['1S', '1C', 'AD']
['1S', '1C', '1H']
['1S', '1C', '2H']
